Address,Frequency
111.251.103.207,6
212.205.117.23,16
62.109.185.48,1610
197.237.210.146,604
84.38.130.56,36
89.197.125.35,4
74.125.204.27,1
123.214.23.189,9632
98.143.148.135,5
185.29.9.133,150
64.233.188.27,1
107.170.228.5,6
111.251.101.251,6
207.38.2.190,6
103.3.46.6,5
66.196.202.254,2672
111.251.90.32,6
168.1.128.59,6
1.162.236.75,6
37.187.50.163,10
111.251.96.52,8
1.162.234.29,4
84.241.57.44,229
212.85.250.65,22754
64.77.233.90,3244
182.74.100.244,8029
111.251.108.32,6
84.38.130.50,36
191.96.249.117,63
183.91.14.189,5495
143.107.231.114,31
210.73.16.4,6
1.162.234.42,6
104.168.143.93,390
66.109.24.123,9
1.162.174.50,6
213.165.85.151,10
178.82.34.147,10
189.73.168.227,1513
27.38.29.187,430
114.45.78.87,6
111.251.109.230,4
208.100.26.231,33
127.0.0.1,241
84.38.130.52,38
163.44.196.24,10
1.162.238.144,4
27.38.25.235,259
119.28.51.204,243
222.110.153.146,78
91.200.12.139,1981
219.216.121.142,22
173.236.144.95,20
106.244.205.19,4938
120.25.166.199,3
112.136.194.252,1015
123.121.144.23,4
185.163.109.66,10
162.243.31.157,28
88.212.188.65,10220
37.48.119.245,988
66.23.231.107,9
122.224.153.109,5
87.236.215.216,1065
66.240.236.119,5
111.251.92.72,4
1.160.40.88,6
66.194.234.110,4241
196.52.43.59,4
1.162.170.38,6
80.82.78.92,352
74.208.184.52,28
103.9.77.192,3
214.84.9.5,33
54.186.222.44,4
65.245.57.3,39
93.174.91.38,92
91.200.12.142,32853
52.174.52.33,5
203.151.146.34,243
168.1.128.76,6
203.156.135.21,5454
71.177.175.42,1556
46.105.123.22,11
122.116.12.32,171
105.235.111.102,4855
111.251.108.89,8
212.83.150.102,1194
196.52.43.62,6
182.23.52.243,119
94.200.64.6,4
87.244.23.14,18
46.183.217.174,122
1.160.119.135,6
139.162.66.65,13
121.148.151.230,3
200.105.211.190,673
1.162.236.36,6
111.251.102.127,6
208.100.26.229,34
111.251.103.58,6
211.22.90.249,6
64.233.187.26,1
123.151.92.185,3
208.100.26.233,5
46.249.222.52,12
1.162.239.162,4
208.82.104.87,10
192.99.1.177,146
84.38.130.55,36
1.162.172.126,8
59.120.155.175,5
